temperature_2m_mean,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,month,month_sin,month_cos
10.763667,13.5515,175.5788,18.77,2.6218088,5,0.49999999999999994,-0.8660254037844387
4.330333,10.195057,43.886154,5.59,0.73787564,1,0.49999999999999994,0.8660254037844387
6.982418,12.979984,144.81921,3.33,0.4793269,11,-0.5000000000000004,0.8660254037844384
6.1199164,7.69592,282.1442,13.82,1.7981132,3,1.0,6.123233995736766e-17
16.670082,16.394829,251.13089,16.46,2.5450659,9,-1.0,-1.8369701987210297e-16
-4.5071664,8.373386,61.456444,3.51,0.3812947,1,0.49999999999999994,0.8660254037844387
17.632416,8.825508,303.69006,15.64,2.642438,9,-1.0,-1.8369701987210297e-16
6.6907506,30.222849,187.16371,0.94,0.2388382,11,-0.5000000000000004,0.8660254037844384
1.9386667,23.78453,174.06493,1.2,0.21020776,12,-2.4492935982947064e-16,1.0
3.722,12.245294,171.29427,4.12,0.43351647,11,-0.5000000000000004,0.8660254037844384
16.1095,10.30883,188.15674,16.86,2.7348652,7,-0.4999999999999997,-0.8660254037844388
3.5428333,24.703974,146.09668,2.37,0.2989265,2,0.8660254037844386,0.5000000000000001
19.238667,10.08,192.4218,22.58,4.106846,8,-0.8660254037844384,-0.5000000000000004
21.05325,15.328561,220.89893,18.49,4.055793,6,1.2246467991473532e-16,-1.0
0.943,14.693999,137.61963,8.2,0.80119956,3,1.0,6.123233995736766e-17
15.534499,11.726277,191.7589,26.45,4.228205,5,0.49999999999999994,-0.8660254037844387
9.657415,15.844089,203.25778,17.71,2.3709242,4,0.8660254037844387,-0.4999999999999998
12.094916,5.904439,118.42111,9.43,1.3820899,10,-0.8660254037844386,0.5000000000000001
4.018,26.437336,277.78836,5.75,0.8168259,2,0.8660254037844386,0.5000000000000001
3.5594997,15.546833,158.99423,3.09,0.35371354,3,1.0,6.123233995736766e-17
2.61575,9.504272,49.156162,2.33,0.31316096,12,-2.4492935982947064e-16,1.0
5.1053333,24.703976,250.64606,4.1,0.72296375,12,-2.4492935982947064e-16,1.0
7.2115836,7.491114,190.25108,23.27,2.8831024,4,0.8660254037844387,-0.4999999999999998
7.3595004,9.107359,315.855,19.69,2.5502796,3,1.0,6.123233995736766e-17
16.0595,9.779817,173.84695,23.37,3.9181073,8,-0.8660254037844384,-0.5000000000000004
1.3990836,20.63023,24.619297,2.43,0.54343235,12,-2.4492935982947064e-16,1.0
7.3761673,6.5693827,98.43831,5.11,0.67315733,11,-0.5000000000000004,0.8660254037844384
0.58883333,16.595179,69.04834,1.22,0.26207632,2,0.8660254037844386,0.5000000000000001
3.1074169,13.627795,87.86966,1.25,0.24185607,11,-0.5000000000000004,0.8660254037844384
5.8178334,17.076298,287.91058,1.86,0.22914612,1,0.49999999999999994,0.8660254037844387
2.0805,9.504273,289.87012,5.27,0.482648,12,-2.4492935982947064e-16,1.0
4.368,18.331741,303.54614,3.38,0.42104053,11,-0.5000000000000004,0.8660254037844384
17.322,9.746631,177.4308,13.0,2.3367827,8,-0.8660254037844384,-0.5000000000000004
6.493,44.565907,144.27835,2.09,0.83457196,1,0.49999999999999994,0.8660254037844387
0.7886667,7.072878,14.156227,4.67,0.39375663,12,-2.4492935982947064e-16,1.0
15.340917,20.598795,113.06818,17.41,3.3154984,6,1.2246467991473532e-16,-1.0
3.0867507,9.47012,331.63107,3.15,0.34022254,1,0.49999999999999994,0.8660254037844387
17.726168,10.787993,170.11482,24.07,3.9258988,7,-0.4999999999999997,-0.8660254037844388
14.330334,14.20062,180.4192,27.57,4.088982,5,0.49999999999999994,-0.8660254037844387
22.182417,10.538843,182.54143,27.41,5.4741697,8,-0.8660254037844384,-0.5000000000000004
-1.1800833,10.948973,36.994,5.49,0.5226309,1,0.49999999999999994,0.8660254037844387
6.6053333,8.049845,5.4637322,3.77,0.56844056,11,-0.5000000000000004,0.8660254037844384
6.655334,17.283749,159.7414,2.59,0.29232743,12,-2.4492935982947064e-16,1.0
5.13675,22.751316,87.74462,5.23,0.73243195,2,0.8660254037844386,0.5000000000000001
3.605333,5.6920996,78.60135,4.94,0.47273764,11,-0.5000000000000004,0.8660254037844384
11.026166,10.495713,175.49791,5.22,0.81443447,10,-0.8660254037844386,0.5000000000000001
10.990748,7.289444,307.02505,8.8,1.2035211,10,-0.8660254037844386,0.5000000000000001
1.2615833,19.61587,146.73856,4.49,0.40533155,2,0.8660254037844386,0.5000000000000001
22.01175,10.446206,136.73569,21.48,3.9560246,8,-0.8660254037844384,-0.5000000000000004
4.1345,13.392774,110.8585,4.05,0.56729627,3,1.0,6.123233995736766e-17
9.980334,18.0,126.86998,12.16,1.6640475,4,0.8660254037844387,-0.4999999999999998
9.15325,13.1041975,170.8716,2.97,0.5348734,4,0.8660254037844387,-0.4999999999999998
7.517833,4.39436,65.037224,2.55,0.3661751,11,-0.5000000000000004,0.8660254037844384
6.584501,14.654254,93.07451,1.06,0.20853232,12,-2.4492935982947064e-16,1.0
14.088665,14.332341,159.63272,9.1,1.6167196,5,0.49999999999999994,-0.8660254037844387
4.532417,10.028439,74.54237,7.27,0.8619955,3,1.0,6.123233995736766e-17
13.311581,8.654986,203.62936,12.93,1.8661565,9,-1.0,-1.8369701987210297e-16
2.2240832,11.966953,23.323761,6.34,0.7165703,11,-0.5000000000000004,0.8660254037844384
6.569916,19.211996,147.02036,2.22,0.4233738,4,0.8660254037844387,-0.4999999999999998
7.357416,18.440998,89.221886,1.3,0.2851901,11,-0.5000000000000004,0.8660254037844384
17.474083,8.854829,198.60255,12.08,2.1399665,7,-0.4999999999999997,-0.8660254037844388
10.399083,15.990646,128.32434,4.49,0.6641452,10,-0.8660254037844386,0.5000000000000001
-6.7695003,15.034041,100.95719,3.21,0.52781,12,-2.4492935982947064e-16,1.0
17.011583,10.495713,172.43266,17.16,2.864384,8,-0.8660254037844384,-0.5000000000000004
17.426165,12.641076,249.37334,25.8,4.306143,6,1.2246467991473532e-16,-1.0
15.73033,9.746631,177.63054,22.14,3.6466732,6,1.2246467991473532e-16,-1.0
5.2428336,20.63023,149.20107,4.03,0.4470236,11,-0.5000000000000004,0.8660254037844384
9.642833,33.280045,162.6192,0.99,0.24170113,2,0.8660254037844386,0.5000000000000001
17.390917,22.007162,118.25472,12.02,2.5710897,8,-0.8660254037844384,-0.5000000000000004
6.884667,20.532627,84.57026,2.17,0.5279949,2,0.8660254037844386,0.5000000000000001
8.126166,6.489992,306.30457,14.43,1.7811528,3,1.0,6.123233995736766e-17
12.799083,6.439876,188.7233,14.83,1.994042,10,-0.8660254037844386,0.5000000000000001
14.826165,5.937272,331.07364,12.27,1.8862591,10,-0.8660254037844386,0.5000000000000001
8.0095,21.175837,137.9379,0.93,0.20412634,11,-0.5000000000000004,0.8660254037844384
12.409497,19.242327,123.049324,3.46,0.6046927,10,-0.8660254037844386,0.5000000000000001
4.349084,10.239453,359.76227,6.14,0.5764187,1,0.49999999999999994,0.8660254037844387
16.294914,7.628263,160.7872,12.36,2.0456145,9,-1.0,-1.8369701987210297e-16
1.9303336,12.287555,28.916716,7.15,0.7768457,1,0.49999999999999994,0.8660254037844387
14.255332,6.130579,197.39337,15.63,2.3036852,9,-1.0,-1.8369701987210297e-16
15.703247,8.78872,36.31967,7.7,1.3675752,9,-1.0,-1.8369701987210297e-16
15.661583,14.264361,173.11469,21.57,3.4312072,6,1.2246467991473532e-16,-1.0
5.7096667,12.303366,86.780556,3.36,0.39630646,11,-0.5000000000000004,0.8660254037844384
23.340752,9.6932955,155.47401,28.64,5.6382356,7,-0.4999999999999997,-0.8660254037844388
12.672,12.303366,312.94162,29.58,4.475564,5,0.49999999999999994,-0.8660254037844387
17.73675,8.557102,283.8049,18.46,3.0478127,9,-1.0,-1.8369701987210297e-16
4.647,10.948973,311.97263,8.46,0.99359334,3,1.0,6.123233995736766e-17
19.555332,11.480557,202.60944,27.57,4.9218326,7,-0.4999999999999997,-0.8660254037844388
4.0095,6.439876,92.76673,1.42,0.22819981,12,-2.4492935982947064e-16,1.0
5.8178325,29.28418,117.29413,0.54,0.22188024,1,0.49999999999999994,0.8660254037844387
23.697166,18.171976,307.8169,20.36,4.4571476,9,-1.0,-1.8369701987210297e-16
12.772,14.917212,174.17828,7.88,1.404248,7,-0.4999999999999997,-0.8660254037844388
-1.7321668,20.188908,57.523827,16.74,2.23379,3,1.0,6.123233995736766e-17
14.226165,10.829959,195.14705,25.33,3.8516355,6,1.2246467991473532e-16,-1.0
16.315916,9.565437,154.86061,16.24,2.6435256,6,1.2246467991473532e-16,-1.0
12.155334,14.8257065,192.83176,18.82,2.6407166,5,0.49999999999999994,-0.8660254037844387
13.951331,14.145756,115.161835,19.13,2.8885102,6,1.2246467991473532e-16,-1.0
17.338835,14.512064,275.86832,25.49,4.191536,7,-0.4999999999999997,-0.8660254037844388
15.190749,8.404285,199.33488,7.82,1.3717031,8,-0.8660254037844384,-0.5000000000000004
13.190917,10.8955765,114.23807,12.51,1.7241912,9,-1.0,-1.8369701987210297e-16
5.711584,20.608229,179.79314,3.73,0.45138642,11,-0.5000000000000004,0.8660254037844384
5.907417,10.105681,112.89727,4.34,0.5595126,10,-0.8660254037844386,0.5000000000000001
4.230334,31.89608,162.77371,1.48,0.49369526,12,-2.4492935982947064e-16,1.0
10.367835,15.9134655,271.6629,10.75,1.4679383,10,-0.8660254037844386,0.5000000000000001
23.894915,9.6932955,240.148,29.75,5.8599772,7,-0.4999999999999997,-0.8660254037844388
